ID,最近一次使用消费券的折扣,历史使用优惠券折扣的最大值,历史购买总次数,最近一次消费金额,历史消费金额的平均值,历史使用优惠券的频率,历史使用优惠券的总次数,历史购买产品数量,最近一次购买宝贝数量,Action,next.1,next.2,next.3,next.4,next.5,next.6,next.7,next.8,next.9,Reward
2.0,3.0,3.0,4.0,108.0,108.0,1.0,4.0,5.0,1.0,0.0,0.0,3.0,5.0,187.9,123.97999999999999,1.0,5.0,6.0,1.0,0.0
2.0,0.0,3.0,5.0,187.9,123.97999999999999,1.0,5.0,6.0,1.0,3.0,0.0,3.0,5.0,187.9,123.97999999999999,1.0,5.0,6.0,1.0,0.0
2.0,0.0,3.0,5.0,187.9,123.97999999999999,1.0,5.0,6.0,1.0,2.0,2.0,3.0,6.0,250.1,145.0,1.0,6.0,7.0,1.0,168.72
2.0,2.0,3.0,6.0,250.1,145.0,1.0,6.0,7.0,1.0,1.0,1.0,3.0,7.0,399.0,181.28571428571428,1.0,7.0,8.0,2.0,366.25
2.0,1.0,3.0,7.0,399.0,181.28571428571428,1.0,7.0,8.0,2.0,3.0,3.0,3.0,8.0,187.9,182.1125,1.0,8.0,10.0,1.0,99.8
2.0,3.0,3.0,8.0,187.9,182.1125,1.0,8.0,10.0,1.0,4.0,4.0,4.0,9.0,299.0,195.10000000000002,1.0,9.0,11.0,2.0,96.03
2.0,4.0,4.0,9.0,299.0,195.10000000000002,1.0,9.0,11.0,2.0,4.0,4.0,4.0,10.0,299.0,205.49,1.0,10.0,13.0,1.0,96.03
2.0,4.0,4.0,10.0,299.0,205.49,1.0,10.0,13.0,1.0,0.0,0.0,4.0,11.0,187.9,203.8909090909091,1.0,11.0,14.0,1.0,0.0
2.0,0.0,4.0,11.0,187.9,203.8909090909091,1.0,11.0,14.0,1.0,2.0,2.0,4.0,12.0,108.0,195.9,1.0,12.0,15.0,1.0,68.0
2.0,2.0,4.0,12.0,108.0,195.9,1.0,12.0,15.0,1.0,2.0,2.0,4.0,13.0,108.0,189.13846153846154,1.0,13.0,16.0,1.0,68.0
2.0,2.0,4.0,13.0,108.0,189.13846153846154,1.0,13.0,16.0,1.0,3.0,2.0,4.0,13.0,108.0,189.13846153846154,1.0,13.0,16.0,1.0,0.0
2.0,2.0,4.0,13.0,108.0,189.13846153846154,1.0,13.0,16.0,1.0,2.0,2.0,4.0,13.0,108.0,189.13846153846154,1.0,13.0,16.0,1.0,0.0
2.0,2.0,4.0,13.0,108.0,189.13846153846154,1.0,13.0,16.0,1.0,2.0,2.0,4.0,14.0,108.0,183.34285714285716,1.0,14.0,17.0,1.0,68.0
2.0,2.0,4.0,14.0,108.0,183.34285714285716,1.0,14.0,17.0,1.0,0.0,0.0,4.0,15.0,187.9,183.64666666666668,1.0,15.0,18.0,1.0,0.0
2.0,0.0,4.0,15.0,187.9,183.64666666666668,1.0,15.0,18.0,1.0,2.0,2.0,4.0,16.0,108.0,178.91875000000002,1.0,16.0,19.0,1.0,68.0
2.0,2.0,4.0,16.0,108.0,178.91875000000002,1.0,16.0,19.0,1.0,3.0,3.0,4.0,17.0,187.9,179.44705882352943,1.0,17.0,20.0,1.0,80.9
2.0,3.0,4.0,17.0,187.9,179.44705882352943,1.0,17.0,20.0,1.0,2.0,2.0,4.0,18.0,108.0,175.4777777777778,1.0,18.0,21.0,1.0,68.0
2.0,2.0,4.0,18.0,108.0,175.4777777777778,1.0,18.0,21.0,1.0,2.0,2.0,4.0,19.0,399.0,187.24210526315792,1.0,19.0,22.0,1.0,306.96
2.0,2.0,4.0,19.0,399.0,187.24210526315792,1.0,19.0,22.0,1.0,2.0,2.0,4.0,20.0,108.0,183.28000000000003,1.0,20.0,23.0,1.0,68.0
2.0,2.0,4.0,20.0,108.0,183.28000000000003,1.0,20.0,23.0,1.0,2.0,2.0,4.0,21.0,108.0,179.69523809523812,1.0,21.0,24.0,1.0,68.0
2.0,2.0,4.0,21.0,108.0,179.69523809523812,1.0,21.0,24.0,1.0,2.0,2.0,4.0,21.0,108.0,179.69523809523812,1.0,21.0,24.0,1.0,0.0
2.0,2.0,4.0,21.0,108.0,179.69523809523812,1.0,21.0,24.0,1.0,2.0,2.0,4.0,22.0,199.0,180.5727272727273,1.0,22.0,25.0,1.0,133.86
2.0,2.0,4.0,22.0,199.0,180.5727272727273,1.0,22.0,25.0,1.0,2.0,2.0,4.0,23.0,108.0,177.41739130434783,1.0,23.0,26.0,1.0,68.0
