编号,最近一次使用消费券的折扣,历史使用优惠券折扣的最大值,历史购买总次数,最近一次消费金额,历史消费金额的平均值,历史使用优惠券的频率,历史使用优惠券的总次数,历史购买产品数量,Action,next.1,next.2,next.3,next.4,next.5,next.6,next.7,next.8,Reward
6.0,3.0,3.0,17.0,133.86,143.58411764705883,1.0588235294117647,18.0,20.0,1.0,1.0,3.0,18.0,368.0,156.05166666666668,1.0555555555555556,19.0,21.0,368.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,68.0,68.0,1.0,1.0,1.0,68.0
7.0,1.0,1.0,1.0,68.0,68.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,99.8,83.9,1.0,2.0,2.0,99.8
7.0,2.0,2.0,2.0,99.8,83.9,1.0,2.0,2.0,2.0,2.0,2.0,3.0,80.22,82.67333333333333,1.0,3.0,3.0,80.22
7.0,2.0,2.0,3.0,80.22,82.67333333333333,1.0,3.0,3.0,1.0,1.0,2.0,4.0,138.0,96.505,1.0,4.0,4.0,138.0
7.0,1.0,2.0,4.0,138.0,96.505,1.0,4.0,4.0,2.0,2.0,2.0,5.0,96.81,96.566,1.0,5.0,5.0,96.81
7.0,2.0,2.0,5.0,96.81,96.566,1.0,5.0,5.0,3.0,3.0,3.0,5.0,96.81,96.566,1.2,6.0,5.0,0.0
7.0,3.0,3.0,5.0,96.81,96.566,1.2,6.0,5.0,2.0,2.0,3.0,6.0,96.81,96.60666666666667,1.1666666666666667,7.0,6.0,96.81
7.0,2.0,3.0,6.0,96.81,96.60666666666667,1.1666666666666667,7.0,6.0,1.0,1.0,3.0,7.0,318.0,128.2342857142857,1.1428571428571428,8.0,7.0,318.0
7.0,1.0,3.0,7.0,318.0,128.2342857142857,1.1428571428571428,8.0,7.0,3.0,3.0,3.0,8.0,115.0,126.58,1.125,9.0,8.0,115.0
7.0,3.0,3.0,8.0,115.0,126.58,1.125,9.0,8.0,2.0,2.0,3.0,9.0,113.47,125.12333333333332,1.1111111111111112,10.0,10.0,113.47
7.0,2.0,3.0,9.0,113.47,125.12333333333332,1.1111111111111112,10.0,10.0,3.0,3.0,3.0,10.0,88.0,121.41099999999999,1.1,11.0,11.0,88.0
7.0,3.0,3.0,10.0,88.0,121.41099999999999,1.1,11.0,11.0,3.0,3.0,3.0,11.0,138.0,122.9190909090909,1.0909090909090908,12.0,12.0,138.0
7.0,3.0,3.0,11.0,138.0,122.9190909090909,1.0909090909090908,12.0,12.0,3.0,3.0,3.0,12.0,133.86,123.83083333333332,1.0833333333333333,13.0,13.0,133.86
7.0,3.0,3.0,12.0,133.86,123.83083333333332,1.0833333333333333,13.0,13.0,1.0,1.0,3.0,13.0,68.0,119.53615384615384,1.0769230769230769,14.0,14.0,68.0
7.0,1.0,3.0,13.0,68.0,119.53615384615384,1.0769230769230769,14.0,14.0,1.0,1.0,3.0,14.0,68.0,115.85499999999999,1.0714285714285714,15.0,15.0,68.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,99.1,99.1,1.0,1.0,1.0,99.1
8.0,2.0,2.0,1.0,99.1,99.1,1.0,1.0,1.0,3.0,3.0,3.0,2.0,138.0,118.55,1.0,2.0,2.0,138.0
8.0,3.0,3.0,2.0,138.0,118.55,1.0,2.0,2.0,0.0,0.0,3.0,3.0,368.0,201.70000000000002,1.0,3.0,3.0,368.0
8.0,0.0,3.0,3.0,368.0,201.70000000000002,1.0,3.0,3.0,1.0,1.0,3.0,4.0,68.0,168.275,1.0,4.0,4.0,68.0
8.0,1.0,3.0,4.0,68.0,168.275,1.0,4.0,4.0,3.0,3.0,3.0,5.0,76.81,149.98200000000003,1.0,5.0,5.0,76.81
8.0,3.0,3.0,5.0,76.81,149.98200000000003,1.0,5.0,5.0,2.0,2.0,3.0,6.0,175.04,154.15833333333333,1.0,6.0,7.0,175.04
8.0,2.0,3.0,6.0,175.04,154.15833333333333,1.0,6.0,7.0,3.0,3.0,3.0,7.0,124.94,149.98428571428573,1.0,7.0,8.0,124.94
8.0,3.0,3.0,7.0,124.94,149.98428571428573,1.0,7.0,8.0,3.0,3.0,3.0,8.0,138.0,148.48625,1.0,8.0,9.0,138.0
8.0,3.0,3.0,8.0,138.0,148.48625,1.0,8.0,9.0,1.0,1.0,3.0,9.0,68.0,139.54333333333335,1.0,9.0,10.0,68.0
8.0,1.0,3.0,9.0,68.0,139.54333333333335,1.0,9.0,10.0,3.0,3.0,3.0,9.0,68.0,139.54333333333335,1.1111111111111112,10.0,10.0,0.0
